name;department;wiki_link;latitude;longitude
Leticia;Amazonas Department;/wiki/Leticia;_Colombia;-4.216666666666667;-69.93333333333334
Puerto Nariño;Amazonas Department;/wiki/Puerto_Nari%C3%B1o;-3.7666666666666666;-70.36666666666666
Abejorral;Antioquia Department;/wiki/Abejorral;5.783333333333333;-75.41666666666667
Abriaquí;Antioquia Department;/wiki/Abriaqu%C3%AD;6.633333333333333;-76.06666666666666
